Apne per Baat Hai To fir abhi kahan chala rahe ho, नेवर वाई थे डॉ बी कम दो नो डु,,  Both model prediction and ground truth wrong
Airtel hello tune, ए आर हेलोटून,, Doesnt pick up English
recharge my account, रिचार्ज माइ अकाउंट,, No mistake
SMS balance, एसएमएस बैलेंस,, No mistake
Wi-Fi pack, वाई 5 पैक,, Similar Sounding Word Predicted
bill details, विल डिटेइलज़,, Incorrect Single Word Prediction
Kaise, कैसे,, No mistake
data balance, डाटा बैलेंस,, Similar Sounding Word Predicted
Kab Tak, कब तक,, No mistake
Airtel money Apne Uttar dene ki kripa Karen, एयरटेल मनी अपना उत्तर देने पिप करें,, Incorrect Prediction of repetition of words
data balance, डाटा बैलेंस,, No mistake
customer care number, कस्टमर केयर नंबर,, No mistake
Man versus Wild, मान मर्सी बांड,, Doesnt pick up English
account balance bataiye, अकाउंट बैलेंस बताइये,, No mistake
payment, पेमेंटती है,, Random Prediction
Zee classic, जी ग्लासिक,, Doesnt pick up English
mere pass Wi-Fi pack 10gb hai, मेरे पास बाई भाई बैक थेन ड्री हेड,, Incorrect Prediction of repetition of words
recharge my account,,, No mistake
my data balance, माइ डाटा बैलेंस,, No mistake
Teri nazron mein, तेरी स्मा,, Fast Spoken Sentence
yes I mean it I port my SIM on 12 March, येस आइ मीन इट आइ बोर्ड मासिम ऑन त्वेल मार्च,, Doesnt pick up English
Teri Aisi Ki Taisi, तेरी यासी की तैसी,, Incorrect Single Word Prediction
DND request, डी एंड बी रीक्वेस्ट,, Doesnt pick up English
I want to take hello tune, आइ 1022  हेलो दो,, Fast Spoken Sentence
data balance,,, No mistake
recharge, रिचार्ज यु,, Extra Words Predicted
customer care number,,, No mistake
recharge, रिचार्ज,, No mistake
account balance, अकाउंट ऑफ बैलेंस,, Extra Words Predicted
Mujhe DND activate karna tha,,, No mistake
kab tak teamwork karegi, कब तक 3 वर्क करेगी,, Incorrect Prediction of repetition of words
bill detail, दिल डिटेल,, Doesnt pick up English
dmdk, डीएनडी के,, Wrong Ground Truth
dmdk, डीएनडी के,,  Both model prediction and ground truth wrong
Mujhe Mera Airtel ka balance batao, मुझे मेरा एयरटेल का बैलेंस बताओ,, Similar Sounding Word Predicted
Zee TV ke channel dikhao, जीटीवी के को दिखाओ,, Incorrect Single Word Prediction
yes network Mein dikkat a rahi hai, येस नेटवर्क में दिक्कत आ रही है,, No mistake
I want to know about hello tunes Airtel hello tune, आइ वांट दो नो अबाउट दो ए लोट,, Doesnt pick up English
recharge my bank account, रीचार्ज माइ बैंक अकाउंट,, No mistake
219 ka recharge kaise karen, दो सो 1 निस्क रेचार्ज गैसी गुड,, Incorrect Prediction of repetition of words
mujhe ek GB chahie, मुझे 1 जीवी चाहिए,, No mistake
mujhe ek GB chahie, मुझे 1 जीवी चाहिए,, V instead of B
account balance, अकाउंट बैलेंस,, No mistake
ok, फोट,, Random Prediction
mujhe ek GB chahie, मुझे 1 जीवी चाहिए,, Similar Sounding Word Predicted
hello hello hello hello aap kya kar rahe hain, हैलो हवे लोग हैलो आप सुन पा रहे हैं,, Wrong Ground Truth
hello tune, हेलो ट्यून,, No mistake
Mera Kitna deta hai, मेरा कितना डाटा है,, Wrong Ground Truth
Mera Kitna deta hai, मेरा कितना डाटा है,, Extra Words Predicted
Airtel number par music Kaise set Karen, एयरटेल नंबर पी म्यूजिक कैसे फेक्ट करें,, Similar Sounding Word Predicted
Mera Kitna deta hai, मेरा कितना डाटा है,, Fast Spoken Sentence
Mera Kitna deta hai, मेरा कितना डाटा है,, Wrong Ground Truth
I want to know my best recharge, आइ वांट दो नो माइ थिस रिचर्,, Incorrect Prediction of repetition of words
mujhe kuchh batao, मुझे कुछ बताओ,, No mistake
data packs dikha do, मुझे डाटा पैक सिखा दो,, Incorrect Prediction of repetition of words
10 rupaye, 10 रुपये,, No mistake
ringtones, रिंग कॉन्स,, Random Prediction
10 rupaye, 10 रुपये,, Similar Sounding Word Predicted
han ji, हाँ जी,, No mistake
missed call alert, मिस्ट कौल अलर्ट,, No mistake
free recharge, री 4 जि,, Incorrect Prediction of repetition of words
what is the full form of i l u, वाट इस ए फुल सोम ऑफ आइ हाड यू,, Doesnt pick up English
Airtel in, एयरटेल इन,, No mistake
free recharge, री 4 जि,,  Both model prediction and ground truth wrong
free net kab milega, क्रीन का वर मिलेगा,, Random Prediction
Airtel in5 gr3, एयरटेल इन 5 जी 3,, Incorrect Prediction of repetition of words
hello, लो,, Random Prediction
international call pack, इंटरनेशन को बैक,, Doesnt pick up English
Pyara Sa sad song, प्यारा सा सेड सो,, Doesnt pick up English
pack validity, पैक वैलिडिटी,, No mistake
Apne change kar diya kya, हे अपने चेंज कर दिया,,  Both model prediction and ground truth wrong
Kumkum Bhagya, तुम कब,, Random Prediction
yes, येस,, No mistake
DND activate kar do, डी एन डी एक्टिवेट कर दो,, No mistake
internet, इंटरनेट,, No mistake
Wi-Fi calling, वाईफाई कैलिंग,, Last word verb missing
Nike brands, ने प्लान्स,,  Both model prediction and ground truth wrong
new gane, नो वर,, Incorrect Prediction of repetition of words
DJ wala song Baja De, डीजी वाला संग बजते है,, Last word verb missing
Vishnu ko port karane ke liye Airtel mein, 20 नल को पोर्ट कराने के लिए एयरटेल में,, Doesnt pick up English
what is my name, वाट इस माइ नेइम,, Similar Sounding Word Predicted
Jab Main Mangta hun to project, जब मैं मैं दुबारा हूं तो प्रोगेट,, Wrong Ground Truth
balance nahi hai, वेल आस को ही है,, Random Prediction
Vichar, बच्चा हम ही,, Random Prediction
account balance, अकाउंट बैलेंस,, No mistake
Mujhe network Mein dikkat a rahi hai, मुझे नेटवर्क में दिक्कत आ रही है,, No mistake
Dangal channel, जंगल चैनल,, Incorrect Single Word Prediction
account balance, अकाउंट बैलेंस,, No mistake
prepare balance karo, प्रीपेड से बैलेंस करो,, Wrong Ground Truth
599, 500 निन्यान में,, Similar Sounding Word Predicted
data balance, डाटा बैलेंस,, No mistake
I want to know my account balance, आइ वांट दो नू माइ अकाउंट बैलेंस,, Doesnt pick up English
mujhe mobile ka recharge karna hai, मुझे मोबाइल का रिचार्ज करना है,, No mistake
kya I mean I know how to data, या आइ मीन आइ नो आ गुड डाटा ब,, Doesnt pick up English
transaction history, ट्रांसक्शन इस ट्री,, Doesnt pick up English
w h o, न ज,, Random Prediction
hello Sar Mujhe recharge chahie, 9 साल के रिचार्ज हो,, Incorrect Prediction of repetition of words
DND, सीएनडी,, Random Prediction
kya I mean I know how to data, या आइ मीन आइ नो आ गुड डाटा ब,, Last word verb missing
kya I mean I know how to data, या आइ मीन आइ नो आ गुड डाटा ब,, Doesnt pick up English
mujhe call karni hai, जे कोर्ड के कहानी है,,  Both model prediction and ground truth wrong
sexy video, सिसी वीडियो,, Incorrect Single Word Prediction
data balance, डाटा बैलेंस,, No mistake
hello, हैलो,, No mistake
reached, रिचार्ज,, Wrong Ground Truth
data balance, डाटा बैलेंस,, Similar Sounding Word Predicted
soggade, होगा कर दे,, Wrong Ground Truth
ok thanks, ओके थैंक्,, Similar Sounding Word Predicted
mujra naya plan ke bare mein Janna tha, वास इट ए म प्लम्स के बार में जामपल,,  Both model prediction and ground truth wrong
unable to make calls, अनेइबल दो मेइक कॉल्स,, Incorrect Single Word Prediction
account balance, अकाउंट बैलेंस,, No mistake
call ki detail Kaise nikale, कॉल डी डिटेल कैसे निकाल,, Doesnt pick up English
yes, येस,, Similar Sounding Word Predicted
data balance, डाटा बैलेंस,, No mistake
call ki detail Kaise nikale, कॉल डी डिटेल कैसे निकाल,, Incorrect Single Word Prediction
yes, येस,, No mistake
Halka Dupatta Tera Munh t clamp, हल्का दुपट्टा तेरा मोती है,,  Both model prediction and ground truth wrong
Street Dancer full movie, स्ट्रेट डन हरफूल मूवी,, Similar Sounding Word Predicted
call ki detail Kaise nikale, कॉल डी डिटेल कैसे निकाल,, Similar Sounding Word Predicted
nahin mujhe 1 GB rate chahie, नहीं मुझे 1 जी डेट चाहिए,,  Both model prediction and ground truth wrong
Kundali Bhagya, कुनली बाज्य,, Random Prediction
tum kaun ho, तुम कौन हो,, No mistake
Sri Lanka ka international roaming pack bata do, श्री लंका का इंटरनेशनल रोमिंग पैक बता दो,, No mistake
data balance batao, डाटा बैलेंस बताओ,, No mistake
49, 49,, No mistake
I need a train ticket, आइ नीड ए ट्रेन टिकेट,, No mistake
main Germany ja raha hun, मैं जर्मनी जा रहा हूँ,, Similar Sounding Word Predicted
Main Apne Airtel bolate per 319 add kiye the jo abhi tak mere wallet Mein Nahin Aaye Hain kripya sujhav dijiye, मैंने अपने एयरटेल बोले पर बीन 1001  निस पर आदि तेज अब तक मुटि और लक में नहीं आए है क्या विचार दीजि,, Wrong Ground Truth
naye plan, नए प्लान,, No mistake
new plans, रोमिंग पैक्स बिकन,, Extra Words Predicted
DJ wala song Baja De, डीजी वाला संग बजते है,, Incorrect Prediction of repetition of words
Achcha Achcha, अच्छा अच्छा,, No mistake
search nahin karna, को सच नहीं करना ठीक है,,  Both model prediction and ground truth wrong
I am win the cashback, आइ आम विल द का बाक,, Random Prediction
Tu bichadan bichadan ke Diye, कबीर बीन के दी है,,  Both model prediction and ground truth wrong
Puli movie, बी यु लाली मोरी,, Random Prediction
data balance, डाटा बैलेंस,, No mistake
data balance, डाटा बैलेंस,, No mistake
bike, बाइक ने यह कहा,, Extra Words Predicted
se bill details, बिल डिटेइलज़,, Last word verb missing
Mera internet Nahin chal raha, मेरा इंटरनेट नहीं चल रहा,, Similar Sounding Word Predicted
Dhadak full movie in Hindi, द 3 वे हिंदी,, Incorrect Prediction of repetition of words
recharging, रिचार्जिंग,, Random Prediction
Mera data balance kitna hai, मेरा डाटा बैलेंस कितना है,, No mistake
god bless him I hope I will go on seeing them forever, गॉड ब्लेस हिम आइ होप इल गोन सीइंग थेम फॉरेवर,, Incorrect Single Word Prediction
recharging, रिचार्जिंग,, No mistake
customer care number, कस्टमर केयर नंबर,, No mistake
naye plans, नए प्लान्स,, No mistake
Kamal ringtone,,, Wrong Ground Truth
data recharge, डाटा रिचार्ज,, No mistake
recharge, रिचर्,, Similar Sounding Word Predicted
49, 49,, No mistake
no ke, नो गेट वाई सी,, Incorrect Single Word Prediction
Amazon Prime, अमेज़ॉन प्राइम,, Similar Sounding Word Predicted
Mera data balance Kitna bacha hai, मेरा डीटा बैलेंस कितना बचा है,, Doesnt pick up English
god bless him I hope I will go on seeing them forever, गॉड ब्लेस हिम आइ होप इल गोन सीइंग थेम फॉरेवर,, Similar Sounding Word Predicted
network, नेटवर्क,, No mistake
please activate my fast tag, प्लीस एक्टिवट माइ फास्ट थेर,, Doesnt pick up English
please activate my fast tag, प्लीस एक्टिवट माइ फास्ट थेर,, No mistake
please activate my fast tag, प्लीस एक्टिवट माइ फास्ट थेर,, Doesnt pick up English
data balance, डाटा बैलेंस,, No mistake
149 mein kya milega, 149 में क्या मिलेगा,, No mistake
Jo aapane Mere DTH ke off channel shak hai mujhe vah chahie, जो आपने मेरे डीटीएच के ऑफ चैनल से हैं मुझे वो चाहिए,, Similar Sounding Word Predicted
agale Din Ka network kaise use Karen, अगले दिन करने कैसे यूज करें,, Doesnt pick up English
Amazon Prime membership, आमाज़न प्राइम मेंबर शिव,, Incorrect Single Word Prediction
because I say to Sanjay, बिकौज़ ऐसे को समझता,,  Both model prediction and ground truth wrong
Airtel Wi-Fi, एयरटेल वाईफाई,, No mistake
Wi-Fi pack, 5 फाइ बैक,, Incorrect Prediction of repetition of words
how can transfer money, आ कन नोट फ्रांसफ़र मनी,, Wrong Ground Truth
hello, हेलो,, No mistake
sofa set, 4046,, Random Prediction
Alankar Mata, पल का माता,, Doesnt pick up English
1 Sal ka recharge, 1 साल का रीचार्ज,, No mistake
my new recharge offer, माइ नू रिचार्ज ऑफ हर,, Doesnt pick up English
Airtel Wi-Fi, एरटेल वाईफाई,, No mistake
internet, इंटरनेट,, No mistake
sport first, स्पोर्ट फर्स्ट,, No mistake
Nepal Call karne ke liye recharge pack, निवल कौल गाने के लिए रिचार्ज बैक,, Incorrect Prediction of repetition of words
data balance, डाटा बैलेंस,, No mistake
recharge, रिचार्ज,, No mistake
149, 149,, No mistake
SMS balance, एसएमएस प,, Random Prediction
naye plans, नए प्लान्स,, Similar Sounding Word Predicted
cricket Pyaar Karke Hindi, कृपया करके इन दी मे,, Wrong Ground Truth
Aaj Tak news channel, आज तक न्यूज चैनल,, No mistake
net banking kaise karen, मैप बैंकिंग कैसे करें,, Incorrect Single Word Prediction
3 GB ka data lene ke liye kitne rupaye ka recharge karna padta hai, 3 टीवी का डाटा लेने के लिए कितने रुपये का रिचार्ज करना पड़ता है,, Incorrect Prediction of repetition of words
customer care number, कस्टमर केयर नंबर,, No mistake
Airtel money Apna Uttar dene Mein Aana kahan hai, एयरटेल मनी अपना उत्तर दिन में नाकार है,,  Both model prediction and ground truth wrong
best recharge, वो बेस्ट दो बी आर,, Random Prediction
149, 149,, No mistake
data balance, डाटा बैलेंस,, No mistake
cricket Pyaar Karke Hindi, कृपया करके इन दी मे,, Wrong Ground Truth
3 GB ka data lene ke liye kitne rupaye ka recharge karna padta hai, 3 टीवी का डाटा लेने के लिए कितने रुपये का रिचार्ज करना पड़ता है,, Incorrect Prediction of repetition of words
customer care number, कस्टमर केयर नंबर,, No mistake
Mera data balance bataiye, मेरा डाटा बैलेंस बताइये,, Similar Sounding Word Predicted
other person's number is, द फर्सन इस नंबरीश,, Incorrect Prediction of repetition of words
bike, बाइक ने यह कहा,, Fast Spoken Sentence
outstanding bill ke bare mein bataiye, मेरी आउटस्टैंडिंग बिल के बारे में बताइए,, Similar Sounding Word Predicted
Disney cartoon, डिजनी कान,, Last word verb missing
data balance, डाटा बैलेंस,, No mistake
Pogo channel, तो गो चैनल,, Random Prediction
my Amazon Prime is not working, माइ आमाज़न प्राइम इस नोट वर्किंग,, No mistake
mobile mein gana Lagane ke liye, मोबाइल में गाना लगाने के लिए,, No mistake
call, कॉल,, No mistake
I want to know my account balance, आइ वांट दो मू माइ अकाउंट बैलेंस,, Doesnt pick up English
1 lakh car, टेक 100000 का,,  Both model prediction and ground truth wrong
hello tune setting, हैलो टून सेटिंग,, No mistake
ISD charges bataiye, आईएसडी 4 बताइए,, Incorrect Prediction of repetition of words
payment method Mein Airtel bring connect Kyon Nahin ho raha hai, पेमेंट मेड मी दो डु ब्रेक कनेक्ट नहीं हो रहा है,, Random Prediction
bill details, वेल डिटेल्स,, Doesnt pick up English
apni Manpasand ringtone Kaise set Karen,,, No mistake
Mera data balance bataiye, मेरा डाटा बैलेंस बताइये,, No mistake
kitchen ho gaya kya, यह तो की है,,  Both model prediction and ground truth wrong
recharge, रिचार्ज,, No mistake
I am facing problem from 2 month, आईएम फेकिंग प्रॉब्लम रोमांट,, Incorrect Prediction of repetition of words
data balance, डाटा बैलेंस,, No mistake
new plans, नू प्लान्स,, Doesnt pick up English
kya aap mujhe, क्या आप जी,, Incorrect Single Word Prediction
Germany ja raha hun Uske bad phone 2018 Kuchh bad bataiye, जर्मनी रा जा रहा हो उसके बाद होलू राशि का कुछ पैक बताय,,  Both model prediction and ground truth wrong
recharge, रिचार्ज,, No mistake
recharge, रिचार्ज,, Similar Sounding Word Predicted
han ji jaldi Lekar jaaiye, हंजी लीव डेली लिट,,  Both model prediction and ground truth wrong
Tera Mera recharge animal, ये मेरे विचार ने मिल ह,,  Both model prediction and ground truth wrong
SAB channel, सब चैनल्स,, P instead of B
Mera prepaid balance bata do, मेरा प्रीपेड बैलेंस बता दो,, No mistake
SAB channel, सब चैनल्स,, V instead of B
bill details, बिल डिटेल्स,, No mistake
main recharge karna hai, में रिचार्ज करना है,, No mistake
SAB channel, सब चैनल्स,, Incorrect Single Word Prediction
IFSC code, आइ एफ हर सी गुड,, Random Prediction
IR packs, आईआर पैक्स,, Similar Sounding Word Predicted
is Sal ka recharge, ए सार का रिचार्ज क,,  Both model prediction and ground truth wrong
Main apne phone mein caller tune Kaise setting kar sakta hun Neem Wali, मैं अपने फोन में कलर ट्यूज का से एक्टिव ने वाली,,  Both model prediction and ground truth wrong
Cartoon Network, काट दो लेटर्स,, Random Prediction
how to use, हाउ डु यूस,, Incorrect Single Word Prediction
Teri submit karne ke liye hello, मेरी समीर की हलो,,  Both model prediction and ground truth wrong
bill details dikhao, बिल लेटे दिखाओ,, Incorrect Single Word Prediction
data balance, डाटा बैलेंस,, No mistake
prepaid ka balance, प्रीपेड का बैलेंस बा,,  Both model prediction and ground truth wrong
data ke alag alag plant dikhaiye, देता के अलग अलग प्लान दिखाय,, Similar Sounding Word Predicted
Aaj Tak, आज तक,, No mistake
recharge plan batao, लीज् प्लान बता,, Doesnt pick up English
theek hai, ठीक है,, No mistake
3GP Airtel SIM ko Fauji Airtel SIM Mein convert kaise karen,,, Wrong Ground Truth
yah prashn ka Uttar nahin mila biwi, मेरे प्रश्न को नहीं मिला देगी,,  Both model prediction and ground truth wrong
Airtel volte kya hai, एयरटेल बोर्ड क्या है,, Similar Sounding Word Predicted
what is your name, बट इस युवर नेइम,, Similar Sounding Word Predicted
the Sonic, 20  ह,, Random Prediction
Mera last transaction bataiye, वे आ लास्ट ट्रांसक्शन बताए,, Wrong Ground Truth
registering kahan per Hogi, द रजिस्टिंग का बिल्टी,,  Both model prediction and ground truth wrong
enable Airtel payment method, इनेबल एयरटेल पेमेंट बेर,, Incorrect Single Word Prediction
naye plans, नए प्लान्स,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
Mujhe Apne account ke recharge ke bare mein Jankari chahie, मुझे अपने अकाउंट के रिचार्ज के बारे में जानकारी चाहिए,, No mistake
sim ka network show nahin kar raha hai na cal lag raha hai na internet a raha hai, सिम का नेटवर्क सो नहीं कर रहा है काल लग रहा है न इंटरनेट आ रहा है,, Similar Sounding Word Predicted
Mera last transaction bataiye, वे आ लास्ट ट्रांसक्शन बताए,, Incorrect Prediction of repetition of words
recharge kar do, अचार कर दो,, Doesnt pick up English
yesterday Mujhe Mein riddles bill details ke bare mein Jana Tha, िंग मोसमिट बिल डिटेल के बारे में जानना था,,  Both model prediction and ground truth wrong
balance check karo, बैलेंस चेक कर,, Similar Sounding Word Predicted
main recharge karna hai, में रिचार्ज करना है,, Similar Sounding Word Predicted
DND status, डीएनडी स्टेटस,, No mistake
Anya Phone ko kaise recharge Kiya jata hai, अन्य फोन को 6 रिचार्ज किया था,,  Both model prediction and ground truth wrong
Mujhe Airtel ke naye plan batao, मुझे एयरटेल के नए प्लान्स बताओ,, No mistake
Dil detail, बिल डिटेल,, Wrong Ground Truth
account balance, अकाउंट बैलेंस,, No mistake
DND, डीएनडी,, No mistake
1 mahine Pahle Ka kitne ka recharge hai, 1 महीने वैलिडिटी का किन्न का रिचार्ज है,,  Both model prediction and ground truth wrong
yes, लेस,, Random Prediction
hello kya haal chaal, हैलो क्या जान,, Incorrect Prediction of repetition of words
Ji movies, जमरी,, Incorrect Single Word Prediction
kya baccha, डबल लेटा के बचा,,  Both model prediction and ground truth wrong
Ji movies, जमरी,, Random Prediction
data balance, पापा व ले,, Doesnt pick up English
where's my account balance, वो वाट्स माइ अकाउंट बैलिस,,  Both model prediction and ground truth wrong
Sachin, सच्ची,, Fast Spoken Sentence
main Airtel recharge karaya tha jismein 18 Din Mein Teen Char Din pahle aur aaj expire in one day, मैंने 14  था में तारा इन मच थे 3 टर्न पेन और रेट सेड एक्सपर इन विंड,,  Both model prediction and ground truth wrong
Mera recharge kab hoga, मेरा रिचार्ज कब एक्सपर,,  Both model prediction and ground truth wrong
mere phone per abhi kaun si hello tune hai, मेरे फ़ोन पर भी कौन सी हेलो ट्यून है,, Random Prediction
jaldi, जल्दी,, No mistake
bill detail, विल डिटेल,, Doesnt pick up English
jaldi, जल्दी,, No mistake
I am not able to use my data, आईएम नोट एबल दो यूस माइ डाटा,, No mistake
I am feeling unable to send messages by my Airtel sim, आईएम फिलिंग अनेइबल दो सेंट मेसज बाइ माइ एयरटेल सिम,, Similar Sounding Word Predicted
recharge, रिचार्ज,, No mistake
hello, हैलो,, No mistake
mujhe internet Nahin mil raha, मुझे इंटरनेट नहीं मिल रहा,, No mistake
new plan, न प्लान,, Doesnt pick up English
Mujhe data packs ke bare mein bata sakte hain, मुझे मुझे डाटा पैक्स के बारे में बता मिलते हैं,, Incorrect Prediction of repetition of words
Airtel wallet, एयरटेल वॉलेट,, No mistake
account balance, अकाउंट बेनेस,, Doesnt pick up English
Junoon movie, डु नो मूवी,, Incorrect Single Word Prediction
data balance, डाटा बैलेंस,, No mistake
yes yes, या य,, Doesnt pick up English
payment, पेमेंट,, No mistake
customer care number Airtel customer care, कस्टमर केयर एयरटेल कस्टमर केयर नंबर है,, Incorrect Prediction of repetition of words
transaction history, ट्रांसक्शन इस ट्री,, Similar Sounding Word Predicted
mere mobile mein 2GB Kaise Nahin Aaye Abhi Tak Jo 80 station per milati hai, मेरे मोबाइल में थॉ यू बी गेस बट डु इट जस्टिशन पर मूव् डियर,,  Both model prediction and ground truth wrong
transaction history, ट्रांसक्शन इस ट्री,, Incorrect Single Word Prediction
TV serial, टीवी सीरियल,, No mistake
Mujhe data packs ke bare mein bata sakte hain, मुझे मुझे डाटा पैक्स के बारे में बता मिलते हैं,,  Both model prediction and ground truth wrong
Mujhe Mera balance Janna chahie Sar boliye please, मुझे मेरा बैलेंस जानना चाहिए सर बोली ब्लिस,, Incorrect Single Word Prediction
Mujhe data packs ke bare mein bata sakte hain, मुझे मुझे डाटा पैक्स के बारे में बता मिलते हैं,, Random Prediction
naye plans, नए प्लान्स,, No mistake
ringtone, रिंगटोन,, No mistake
type GD, आइ डिड,,  Both model prediction and ground truth wrong
hello tune Kaise lagaen, हेलो ट्यून कैसे लगाए,, No mistake
account balance batao, अकाउंट बैलेंस बताओ,, No mistake
data recharge, स्टार्स पोर्ट्स,, Random Prediction
Mujhe Apne data pack ke bare mein bataiye, मुझे अपना डाटा पैक के बारे बताए,, Similar Sounding Word Predicted
recharge, 304,, Doesnt pick up English
18 rupaye, 18 रुपये,, No mistake
Main Kaun hun, मैं कौन का,, Incorrect Prediction of repetition of words
mera net bahut slow chal raha hai, मेरा नेट बोहत स्लो चल रहा है,, Similar Sounding Word Predicted
balance bataiye, बैलेंस बताइए,, No mistake
Meena balance dikha do, मेरा बैलेंस का दो,,  Both model prediction and ground truth wrong
bill detail, बिल डिटेल,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
598 recharge, फाइनेटी रिचार्ज,, Incorrect Single Word Prediction
how give you give me a GB per day, हाउ गिव यु गिव मी ए जीबी पर डे,, No mistake
